model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_051_ba9bdaa8c6.wav,audio/clean_fleurs_051_ba9bdaa8c6.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_051_ba9bdaa8c6.wav,clean,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ।,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,यो नर्वे स्विडेन र न्यूजील्यान्डद्वारा मिलान गरिएको छ तर अन्यथा एकदम अद्वितीय छ उदाहरण नेदरल्यान्डमा अङ्क एक देखि चालीससम्म छ,success,"यु नोरविय, स्वेन्ड, न्यूज़ीलैंड, दोरर, मीलान, गोरियेकुटा, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयित","यु नोरविय, स्वेन्ड, न्यूज़ीलैंड, दोरर, मीलान, गोरियेकुटा, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयितीया, दोर, अनीटा, इग्मो, दुयित",यु नोरविय स्वेन्ड न्यूज़ीलैंड दोरर मीलान गोरियेकुटा दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयितीया दोर अनीटा इग्मो दुयित,256,30.831,,,2026-08-13T08:10:59.656911,clean,fleurs_051_ba9bdaa8c6.wav,fleurs,14.88,14.88,12-15,ok,2.75,2.184,0,20,0,35,20,55,77,46,2,225,125,273,55,2.75,1.75,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_042_ec04037e22.wav,audio/clean_common_voice_042_ec04037e22.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_042_ec04037e22.wav,clean,अहिले आएर इरानले पनि सोही घोषणा गरेको हो ।,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,अहिले आएर इरानले पनि सोही घोषणा गरेको हो,success,ओइल एयर इरांडेpoonिस्वीको सन्नगोरको हो।,ओइल एयर इरांडेpoonिस्वीको सन्नगोरको हो।,ओइल एयर इरांडेpoonिस्वीको सन्नगोरको हो,20,4.566,,,2026-08-13T08:11:30.489998,clean,common_voice_042_ec04037e22.wav,common_voice,4.32,4.32,3-5,ok,0.875,0.6,1,4,3,0,8,7,18,18,4,2,40,24,5,0.625,0.0,False,False,False,False,,True,False,True,True,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_014_ab933bf8be.wav,audio/clean_slr143_014_ab933bf8be.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_014_ab933bf8be.wav,clean,अन्तिम घडीमा एक-एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ ।,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,अन्तिम घडीमा एक एक गरेर सारा दृश्य उसका सामुन्ने आइरहेका थिए र सोच्दासोच्दै ऊ गुँडुल्किएर निदाएछ,success,अन्तिम गरिमा एक एक गरिमा सारा दीसीय उस्कासमने आयराहे काथी र सुसदसद्-उगुलकी र अनीदायती।,अन्तिम गरिमा एक एक गरिमा सारा दीसीय उस्कासमने आयराहे काथी र सुसदसद्-उगुलकी र अनीदायती।,अन्तिम गरिमा एक एक गरिमा सारा दीसीय उस्कासमने आयराहे काथी र सुसदसद् उगुलकी र अनीदायती,46,7.31,,,2026-08-13T08:11:35.057390,clean,slr143_014_ab933bf8be.wav,slr143,8.856063,8.856063,8-12,ok,0.6875,0.4375,5,10,1,0,16,11,60,19,17,6,96,42,15,0.9375,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_020_c8f0e91346.wav,audio/clean_slr54_020_c8f0e91346.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_020_c8f0e91346.wav,clean,विकसित भइन्।,विकसित भइन्,विकसित भइन्,success,विकासित होइने।,विकासित होइने।,विकासित होइने,9,3.255,,,2026-08-13T08:11:42.368793,clean,slr54_020_c8f0e91346.wav,slr54,5.1,5.1,5-8,ok,1.0,0.36363636363636365,0,2,0,0,2,2,9,2,0,2,11,4,2,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_fleurs_053_3aa6b579c0.wav,audio/clean_fleurs_053_3aa6b579c0.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_fleurs_053_3aa6b579c0.wav,clean,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,अधिकारीहरूले मतदाता परिचय प्रमाणित गरेपछि मतदाताले खामलाई मतपत्र बाकसमा खसाल्छ र मतदानको सूचीमा हस्ताक्षर गर्छ,success,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्।,सिंहहरू सबैभन्दा सामाजिक बिरालाहरू हुन् यिनीहरू प्राइड भनिने ठूला समूहमा बस्छन्,28,5.591,,,2026-08-13T08:11:45.624935,clean,fleurs_053_3aa6b579c0.wav,fleurs,13.86,13.86,12-15,ok,1.0,0.7636363636363637,0,11,4,0,15,15,30,45,35,4,110,84,11,0.7333,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_040_5a66d81a7d.wav,audio/clean_common_voice_040_5a66d81a7d.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_040_5a66d81a7d.wav,clean,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ ।,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,फिल्म हेर्दा उनले केका लागि त्यत्रो पैसा पाए होलान् भन्ने प्रश्न खडा हुन्छ,success,फिल्ममहीदानी केकाली लिगी ट्रिपी सैपाइगाहोलन निप्रस्ना होहँको हाँची।,फिल्ममहीदानी केकाली लिगी ट्रिपी सैपाइगाहोलन निप्रस्ना होहँको हाँची।,फिल्ममहीदानी केकाली लिगी ट्रिपी सैपाइगाहोलन निप्रस्ना होहँको हाँची,38,6.42,,,2026-08-13T08:11:51.217485,clean,common_voice_040_5a66d81a7d.wav,common_voice,5.616,5.616,5-8,ok,1.0,0.581081081081081,0,8,5,0,13,13,37,23,14,6,74,43,8,0.6154,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr54_030_6306fbdefd.wav,audio/clean_slr54_030_6306fbdefd.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr54_030_6306fbdefd.wav,clean,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,शोधकर्ता पनि थिए,success,शूद कर्ता पनीतिया।,शूद कर्ता पनीतिया।,शूद कर्ता पनीतिया,11,3.504,,,2026-08-13T08:11:57.639619,clean,slr54_030_6306fbdefd.wav,slr54,4.2,4.2,3-5,ok,1.0,0.5,0,3,0,0,3,3,9,7,0,1,16,8,3,1.0,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr143_006_bb858103a0.wav,audio/clean_slr143_006_bb858103a0.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr143_006_bb858103a0.wav,clean,"निर्ममतासँग पृथ्वीलाई यसले आबद्‌ गरेको छ, त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी : तीन परिचय दिन्छन्‌ ।",निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,निर्ममतासँग पृथ्वीलाई यसले आबद् गरेको छ त्यसमा गोडा राख्यो भने दुम्सीको काँडा उम्रेको जस्तो अङ्गअङ्गका तीक्ष्ण अङ्क्रले बर्बरताको सान्नानी तीन परिचय दिन्छन्,success,निरमटी सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै,निरमटी सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै,निरमटी सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै सँगै,256,30.132,,,2026-08-13T08:12:01.144865,clean,slr143_006_bb858103a0.wav,slr143,12.260188,12.260188,12-15,ok,3.8636363636363638,2.4935897435897436,0,22,0,63,22,85,38,117,1,271,156,389,85,3.8636,2.8636,False,False,True,True,length_ratio>2.5|insertion_rate>1.0|repetition,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_slr43_028_253c4c05c1.wav,audio/clean_slr43_028_253c4c05c1.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_slr43_028_253c4c05c1.wav,clean,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,न्यु भेराइटी बुक्स एन्ड स्टेसनरीमा पुस्तक तथा अन्य शैक्षिक सामग्रीका साथै बालबालिकाका लागि चाहिने धेरै वस्तुहरू पाइन्छ,success,लक्ष्मीले कलकत्ताकै सेन्ट जेभियर्स कलेजबाट सन् उन्नाइस सय उनान्सत्तरीमा कमर्समा स्नातक गरे।,लक्ष्मीले कलकत्ताकै सेन्ट जेभियर्स कलेजबाट सन् उन्नाइस सय उनान्सत्तरीमा कमर्समा स्नातक गरे।,लक्ष्मीले कलकत्ताकै सेन्ट जेभियर्स कलेजबाट सन् उन्नाइस सय उनान्सत्तरीमा कमर्समा स्नातक गरे,39,6.772,,,2026-08-13T08:12:31.278163,clean,slr43_028_253c4c05c1.wav,slr43,8.68,8.68,8-12,ok,1.0,0.8220338983050848,0,12,5,0,17,17,24,63,31,3,118,97,12,0.7059,0.0,False,False,False,False,,True,False,True,False,True,,,,
microsoft/Phi-4-multimodal-instruct,main,93f923e1a7727d1c4f446756212d9d3e8fcc5d81,clean:audio/clean_common_voice_045_e5d1ae59c5.wav,audio/clean_common_voice_045_e5d1ae59c5.wav,L4_a,L4,3shot_from_L2_c,1865e9a9a3ea044b93e3af9675cf45366ef946ca306d7475f281f71102ab181a,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",3,"['clean:audio/clean_slr43_005_5b5463b34a.wav', 'codeswitched:audio/codeswitched_fleurs_060_a925234db67b.wav', 'noisy:audio/noisy_noisy_054_fleurs_019_e09a181ef7_noise_5db.wav']",/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage2/audio/clean_common_voice_045_e5d1ae59c5.wav,clean,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है ।,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,ल कसैको सुत्ने बेला भएको भए चै शुभरात्री है,success,लोरको सोहीको सुत्ने बेरा पोरको पोर सोई सुभ्राट्रीही।,लोरको सोहीको सुत्ने बेरा पोरको पोर सोई सुभ्राट्रीही।,लोरको सोहीको सुत्ने बेरा पोरको पोर सोई सुभ्राट्रीही,26,5.176,,,2026-08-13T08:12:38.051196,clean,common_voice_045_e5d1ae59c5.wav,common_voice,6.696,6.696,5-8,ok,0.8888888888888888,0.5116279069767442,1,7,1,0,9,8,30,12,1,9,43,22,8,0.8889,0.0,False,False,False,False,,True,False,True,False,True,,,,
