model_id,requested_model_revision,resolved_model_revision,sample_id,utterance_id,prompt_id,prompt_level,prompt_family,prompt_hash,prompt_text,shot_count,shot_sample_ids,audio_path,speech_condition,reference_original,reference_dataset_normalized,reference_normalized,status,raw_output,cleaned_prediction,prediction_normalized,generated_tokens,inference_seconds,error_type,error_message,timestamp,dataset_type,original_file,source,duration,duration_sec,duration_bin,metric_status,wer,cer,word_hits,word_substitutions,word_deletions,word_insertions,ref_words,word_edits,char_hits,char_substitutions,char_deletions,char_insertions,ref_chars,char_edits,hyp_words,output_reference_word_ratio,insertion_rate,rejection_flag,meta_response_flag,repetition_flag,hallucination_proxy_flag,hallucination_proxy_reason,reference_has_devanagari,reference_has_latin,hypothesis_has_devanagari,hypothesis_has_latin,script_presence_match,noise_type,snr_db,cmi,cmi_band
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_017_4db1aa09ef.wav,audio/clean_fleurs_017_4db1aa09ef.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_017_4db1aa09ef.wav,clean,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,success,यो चित्रको बारे गुणनित बहस ले अर्मी ने अफगानिस्तान बीचको सम्बन्धलाई निरंतर रूपमा छाती प्रयोग गरेको छ।,यो चित्रको बारे गुणनित बहस ले अर्मी ने अफगानिस्तान बीचको सम्बन्धलाई निरंतर रूपमा छाती प्रयोग गरेको छ।,यो चित्रको बारे गुणनित बहस ले अर्मी ने अफगानिस्तान बीचको सम्बन्धलाई निरंतर रूपमा छाती प्रयोग गरेको छ,99,7.988,,,2026-08-12T21:10:21.130920,clean,fleurs_017_4db1aa09ef.wav,fleurs,10.2,10.2,8-12,ok,0.8,0.4117647058823529,5,10,0,2,15,12,65,30,7,5,102,42,17,1.1333,0.1333,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_017_4db1aa09ef.wav,audio/clean_fleurs_017_4db1aa09ef.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_017_4db1aa09ef.wav,clean,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,success,यो चित्रको बारे गुणनित बहस ले अर्मी ने अफगानिस्तान बीचको सम्बन्ध लाई निरंतर रूपमा छाती प्रयोग गरेको छ।,यो चित्रको बारे गुणनित बहस ले अर्मी ने अफगानिस्तान बीचको सम्बन्ध लाई निरंतर रूपमा छाती प्रयोग गरेको छ।,यो चित्रको बारे गुणनित बहस ले अर्मी ने अफगानिस्तान बीचको सम्बन्ध लाई निरंतर रूपमा छाती प्रयोग गरेको छ,100,8.313,,,2026-08-12T21:10:29.120462,clean,fleurs_017_4db1aa09ef.wav,fleurs,10.2,10.2,8-12,ok,0.9333333333333333,0.4215686274509804,4,11,0,3,15,14,65,30,7,6,102,43,18,1.2,0.2,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_fleurs_017_4db1aa09ef.wav,audio/clean_fleurs_017_4db1aa09ef.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_fleurs_017_4db1aa09ef.wav,clean,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,यस क्षेत्रका बारे कूटनीतिक बहसले आर्मेनिया र अजरबैजान बीचको सम्बन्धलाई निरन्तर रूपमा क्षति पुर्याएको छ,success,ये चित्रको बारे कुर्नी दिन बहस ले अर्मी ने अज़रबैजान बीचको सम्बन्धलाई निरंतर रूपमा छाती प्रयोग गर्यो।,ये चित्रको बारे कुर्नी दिन बहस ले अर्मी ने अज़रबैजान बीचको सम्बन्धलाई निरंतर रूपमा छाती प्रयोग गर्यो।,ये चित्रको बारे कुर्नी दिन बहस ले अर्मी ने अज़रबैजान बीचको सम्बन्धलाई निरंतर रूपमा छाती प्रयोग गर्यो,100,8.157,,,2026-08-12T21:10:37.434559,clean,fleurs_017_4db1aa09ef.wav,fleurs,10.2,10.2,8-12,ok,0.8666666666666667,0.37254901960784315,4,11,0,2,15,13,70,24,8,6,102,38,17,1.1333,0.1333,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_023_6d0fbfb62f.wav,audio/clean_slr54_023_6d0fbfb62f.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_023_6d0fbfb62f.wav,clean,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,success,सम्बिन्दन सभा मा प्रमुख दास हात।,सम्बिन्दन सभा मा प्रमुख दास हात।,सम्बिन्दन सभा मा प्रमुख दास हात,28,2.925,,,2026-08-12T21:10:45.593387,clean,slr54_023_6d0fbfb62f.wav,slr54,3.7,3.7,3-5,ok,2.0,0.52,0,3,0,3,3,6,18,7,0,6,25,13,6,2.0,1.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_023_6d0fbfb62f.wav,audio/clean_slr54_023_6d0fbfb62f.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_023_6d0fbfb62f.wav,clean,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,success,सम्बिन्दन सभा मा प्रमुख दास हात।,सम्बिन्दन सभा मा प्रमुख दास हात।,सम्बिन्दन सभा मा प्रमुख दास हात,28,2.818,,,2026-08-12T21:10:48.519801,clean,slr54_023_6d0fbfb62f.wav,slr54,3.7,3.7,3-5,ok,2.0,0.52,0,3,0,3,3,6,18,7,0,6,25,13,6,2.0,1.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr54_023_6d0fbfb62f.wav,audio/clean_slr54_023_6d0fbfb62f.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr54_023_6d0fbfb62f.wav,clean,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,संविधानसभामा प्रमुखता साथ,success,सम्बन्ध सभा मा प्रमुख दास हात।,सम्बन्ध सभा मा प्रमुख दास हात।,सम्बन्ध सभा मा प्रमुख दास हात,26,2.502,,,2026-08-12T21:10:51.339372,clean,slr54_023_6d0fbfb62f.wav,slr54,3.7,3.7,3-5,ok,2.0,0.52,0,3,0,3,3,6,17,7,1,5,25,13,6,2.0,1.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_002_577615770e.wav,audio/clean_slr143_002_577615770e.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_002_577615770e.wav,clean,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ।,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,success,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरी-थरीका मिठा-मिठा कनिकुरा कानाडी गाई पुजारको इन्स्ट्रक्शन,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरी-थरीका मिठा-मिठा कनिकुरा कानाडी गाई पुजारको इन्स्ट्रक्शन,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरी थरीका मिठा मिठा कनिकुरा कानाडी गाई पुजारको इन्स्ट्रक्शन,94,7.288,,,2026-08-12T21:10:53.842228,clean,slr143_002_577615770e.wav,slr143,7.5,7.5,5-8,ok,0.5294117647058824,0.3111111111111111,8,8,1,0,17,9,73,14,3,11,90,28,16,0.9412,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_002_577615770e.wav,audio/clean_slr143_002_577615770e.wav,L2_b,L2,linguistic_rules,6fe608b8973d86f985c53419657b50e905207f4a0e0756e432c38f76d4f8630a,"You are a verbatim transcription system for Nepali speech.
Rules:
1. Write Nepali in Devanagari.
2. Write English words in Latin script.
3. Preserve Nepali-English code-switching in the spoken order.
4. Do not translate.
5. Keep fillers, repetitions, corrections, false starts, and incomplete words.
6. Do not correct grammar or normalize wording.
7. Do not guess inaudible words.
8. Add no timestamps, speaker labels, explanations, or confidence scores.
9. Output only the transcription.
10. Write spoken numbers as Nepali words, not digits.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_002_577615770e.wav,clean,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ।,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,success,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरी थरीका मिठा मिठा कनिकुरा कानाडी गाई पुजारको इन्स्ट्रक्शन,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरी थरीका मिठा मिठा कनिकुरा कानाडी गाई पुजारको इन्स्ट्रक्शन,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरी थरीका मिठा मिठा कनिकुरा कानाडी गाई पुजारको इन्स्ट्रक्शन,93,7.561,,,2026-08-12T21:11:01.131204,clean,slr143_002_577615770e.wav,slr143,7.5,7.5,5-8,ok,0.5294117647058824,0.3111111111111111,8,8,1,0,17,9,73,14,3,11,90,28,16,0.9412,0.0,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr143_002_577615770e.wav,audio/clean_slr143_002_577615770e.wav,L2_c,L2,linguistic_compact,113fef29f8e296c53bf7e2fd3c37c290480393d208c3c73229333e1607b00d73,"Write only the verbatim transcript of the audio. Use Devanagari for Nepali and Latin script for English; preserve code-switches exactly where spoken. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not translate, correct grammar, normalize wording, guess unclear speech, or add commentary.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr143_002_577615770e.wav,clean,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ।,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,त्यसैले यस दिन गाईलाई फुलको माला लगाएर थरथरीका मीठा मीठा खाने कुरा खान दिई गाई पूजा गरिन्छ,success,तस्बिर ले यस दिन गाई लाइफ फुलको माला लगाएर थोर थोर गम्भीर मित्र खनिकूरा खनन देखिए गाई पुसागर इन्चर।,तस्बिर ले यस दिन गाई लाइफ फुलको माला लगाएर थोर थोर गम्भीर मित्र खनिकूरा खनन देखिए गाई पुसागर इन्चर।,तस्बिर ले यस दिन गाई लाइफ फुलको माला लगाएर थोर थोर गम्भीर मित्र खनिकूरा खनन देखिए गाई पुसागर इन्चर,97,7.632,,,2026-08-12T21:11:08.693732,clean,slr143_002_577615770e.wav,slr143,7.5,7.5,5-8,ok,0.7647058823529411,0.4111111111111111,6,11,0,2,17,13,65,21,4,12,90,37,19,1.1176,0.1176,False,False,False,False,,True,False,True,False,True,,,,
Qwen/Qwen2.5-Omni-3B,main,f75b40e3da2003cdd6e1829b1f420ca70797c34e,clean:audio/clean_slr43_007_abf4cda1d0.wav,audio/clean_slr43_007_abf4cda1d0.wav,L2_a,L2,linguistic_paragraph,69fbc435aab89329dd9373149c58e54e0dc717e36aca3f87fd966c840d9fb4d5,"Transcribe the spoken Nepali audio verbatim in Devanagari script. Preserve any English words in Latin script and keep Nepali-English code-switching in the spoken order. Do not translate between languages. Keep fillers, repetitions, corrections, false starts, and incomplete words. Do not correct grammar or normalize the speaker's wording. Do not infer inaudible words. Do not add timestamps, speaker labels, explanations, or confidence scores. Return only the transcription.",0,[],/kaggle/input/datasets/panditaadarsh/llm-bechmarking-audio/prompt_development_sets/stage1/audio/clean_slr43_007_abf4cda1d0.wav,clean,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,सिन्धुलीमा कमलामाई तथा गाईघाटमा त्रियुगा जस्ता नगरपालिका भएको यस उपत्यकामा कटारी घुर्मी भिमान लगायतका बजारसमेत छन्,success,सिंधुलिमा कमलामाई तथा गाई घाटमा त्रियुगा जस्ता नगरपालिका भैया को यस उपत्यका कटारी गुर्मी पीमान लगायत बाजार समेत सन्।,सिंधुलिमा कमलामाई तथा गाई घाटमा त्रियुगा जस्ता नगरपालिका भैया को यस उपत्यका कटारी गुर्मी पीमान लगायत बाजार समेत सन्।,सिंधुलिमा कमलामाई तथा गाई घाटमा त्रियुगा जस्ता नगरपालिका भैया को यस उपत्यका कटारी गुर्मी पीमान लगायत बाजार समेत सन्,111,9.09,,,2026-08-12T21:11:16.327216,clean,slr43_007_abf4cda1d0.wav,slr43,12.162688,12.162688,12-15,ok,0.75,0.15789473684210525,7,9,0,3,16,12,102,7,5,6,114,18,19,1.1875,0.1875,False,False,False,False,,True,False,True,False,True,,,,
